kepoi_name,koi_period,koi_prad,koi_srad,koi_teq,koi_insol
K01335.01,127.8334997,9.46,2.17,554.0,22.21
K01336.01,10.21864532,2.33,1.083,920.0,169.13
K01336.02,15.573637,2.94,1.083,799.0,96.38
K01336.03,40.1015561,2.92,1.083,583.0,27.31
K01336.04,4.45814897,1.61,1.083,1212.0,511.6
K01394.01,5.663621501,2.47,0.723,774.0,84.76
K01395.01,6.230335,3.7,0.865,875.0,138.33
K00166.01,12.49340725,2.2,0.795,649.0,42.08
K01396.01,6.62643441,2.54,0.903,895.0,151.59
K01396.02,3.70122061,1.62,0.903,1087.0,330.02
K01397.01,6.247030799,1.89,0.487,512.0,16.23
K01207.01,13.73474071,2.71,0.772,634.0,38.11
K01208.01,700.00298217,6.43,1.118,238.0,0.76
K01209.01,272.0868353,5.95,0.791,251.0,0.93
K01210.01,14.55387488,3.45,1.507,939.0,183.48
K00016.01,0.895277575,9.27,3.325,4253.0,77480.31
K00152.04,81.0637895,3.01,1.324,511.0,16.12
K01278.01,24.8056775,2.16,0.872,588.0,28.22
K00157.01,13.02493307,2.88,1.046,786.0,90.1
K01278.02,44.3471936,2.45,0.872,484.0,13.0
K01278.03,9.2207691,1.02,0.872,817.0,105.63
K01278.04,13.6396648,1.1,0.872,717.0,62.6
K01337.01,1.922799706,1.28,0.815,1215.0,514.44
K01603.01,3.02168007,1.31,0.989,1332.0,744.35
K01338.01,3.222975318,1.47,0.96,1239.0,558.65
K01338.02,42.0370662,1.66,0.96,527.0,18.16
K01338.03,21.0112068,1.4,0.96,663.0,45.79
K01339.01,4.16811839,2.28,1.313,1277.0,628.73
K01398.01,5.82348911,3.0,0.864,955.0,196.33
K01399.01,8.75059775,2.27,0.779,682.0,51.0
K01400.01,9.41475056,19.33,1.033,962.0,202.58
K01401.01,0.56669006,1.52,1.386,2955.0,18023.71
K01402.01,7.13969705,2.24,0.993,965.0,205.23
K01403.01,18.75470238,1.67,0.54,382.0,5.03
K06277.01,0.648868342,72.32,1.524,2882.0,16368.52
K01211.01,3.00363219,1.43,1.32,1571.0,1441.44
K01212.01,11.30123036,1.85,1.122,852.0,124.42
K01213.01,0.796722833,1.44,1.334,2401.0,7844.64
K01214.01,4.24153629,1.44,1.047,1177.0,452.95
K01215.01,17.32419108,3.14,1.857,964.0,204.1
K01279.01,14.37457572,1.94,1.067,779.0,87.24
K01279.02,9.65188331,1.08,1.067,890.0,148.32
K01280.01,6.0990118,3.16,1.971,1374.0,842.53
K01281.01,49.4781446,1.88,0.849,462.0,10.73
K01282.01,30.8639476,3.01,1.571,743.0,72.05
K00159.02,2.403640701,1.24,1.171,1489.0,1164.85
K01340.01,2.90060781,1.58,1.371,1645.0,1727.31
K01341.01,4.51436096,1.84,1.215,1231.0,543.73
K01342.01,3.77359871,1.29,0.969,1270.0,614.52
K01342.02,8.18182189,1.77,0.969,981.0,218.9
K01404.01,13.32389352,1.26,0.45,378.0,4.83
K00167.01,4.919584997,2.86,1.378,1312.0,702.13
K01405.01,11.41911886,3.32,1.172,921.0,170.33
K01406.01,11.36113254,2.6,1.009,869.0,134.97
K01407.01,1.3866358,0.72,0.856,1503.0,1205.94
K01408.01,14.53410833,1.36,0.553,420.0,7.34
K01215.02,33.0063185,3.13,1.857,778.0,86.38
K01216.01,11.13127159,2.06,1.435,952.0,194.31
K01217.01,3.47143963,1.19,1.111,1358.0,805.05
K01218.01,29.6193891,1.74,0.996,580.0,26.79
K00153.01,8.925079516,2.36,0.693,628.0,36.89
K01283.01,8.0922105,1.44,1.395,1089.0,331.65
K01284.01,3.117087797,88.51,2.046,1842.0,2725.12
K00157.02,22.687155,3.2,1.046,653.0,42.95
K01285.01,0.937406378,7.09,0.843,1659.0,1790.11
K01286.01,0.668483615,29.53,0.81,1832.0,2642.17
K01343.01,1.544927524,1.39,1.132,1824.0,2606.96
K01344.01,4.48758768,1.37,1.257,1305.0,684.07
K01345.01,0.323021692,46.4,0.972,2545.0,9913.7
K01346.01,4.70818628,42.99,0.894,1046.0,282.41
K01347.01,14.405857436,23.42,1.346,888.0,146.95
K01348.01,7.702374154,225.25,0.83,825.0,109.38
K01409.01,16.56062577,2.94,0.855,701.0,57.28
K01410.01,15.74958583,2.77,1.025,777.0,86.18
K01412.01,37.8145252,3.04,1.314,626.0,36.25
K01413.01,12.64504291,1.55,0.886,741.0,71.28
K01413.02,21.5262958,1.36,0.886,621.0,35.03
K01413.03,33.8845825,1.74,0.886,533.0,19.13
K01220.01,6.40087137,1.91,1.421,1109.0,357.44
K01221.01,30.1599411,4.54,3.051,836.0,115.69
K01221.02,51.0771048,3.66,3.051,702.0,57.28
K01222.01,4.2856756,2.13,3.733,1790.0,2429.13
K01223.01,7.388833611,10.66,0.838,877.0,139.94
K01224.01,2.698021895,52.51,1.211,1582.0,1481.76
K01288.01,117.93110803,10.36,1.072,418.0,7.2
K01289.01,4.887806806,5.71,0.812,918.0,167.54
K01290.01,11.973605044,38.2,0.943,820.0,106.83
K01291.01,1.231364189,5.39,0.891,1707.0,2005.15
K01292.01,2.102416517,29.29,0.959,1435.0,1003.06
K01293.01,11.703109303,37.3,0.958,811.0,102.47
K00160.01,13.73808249,3.84,1.178,912.0,163.52
K01349.01,16.66216657,843.45,1.169,834.0,114.41
K01350.01,0.752159702,43.73,1.175,2224.0,5767.22
K01352.01,4.81886153,2.96,0.651,803.0,98.29
